X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
359653.55,174130.189999999,516,"REDEPLOYABLE - Grosvenor Road/Winkworth Place PTZ, St Paul's",359653.55,174130.19,-2.58218302551909,51.4646939537307
360863.57,173036.109999999,517,Harwood House Rear Car Park PTZ,360863.57,173036.11,-2.5646440402214,51.4549419669648
358709.98,169283.43,518,Inns Court,358709.98,169283.43,-2.59519806573982,51.421047952946
360602.87,173719.560000001,519,"Easton Road, Door Panel (123-147 Odds)",360602.87,173719.56,-2.56847209600096,51.4610689784472
360602.87,173719.82,520,Easton Road Laundry (Internal),360602.87,173719.82,-2.56847212497428,51.4610713161838
358461.2,169150.109999999,521,Novers Lane,358461.2,169150.11,-2.59876010916479,51.4198310025158
357687,168493,522,MetroBus Whitchurch Lane/ SBL Junction - Street Lighting Column ?,357687,168493,-2.60981490280288,51.413865148611
357676.98,168485.73,523,Whitchurch Road/Anton Bantock Way,357676.98,168485.73,-2.60995810873352,51.4137990291143
357526,168468,524,Cater Road - Camera 19 -WEC pole - Whitchurch Lane ,357526,168468,-2.61212698930068,51.4136282542927
357526,168468,525,Cater Road - Camera 19 -WEC pole - Whitchurch Lane ,357526,168468,-2.61212698930068,51.4136282542927
357526,168468,526,Cater Road - Camera 19 -WEC pole - Whitchurch Lane ,357526,168468,-2.61212698930068,51.4136282542927
357688,168487,527,Cater Road - Camera 16 - Column 47 - Whitchurch Lane ,357688,168487,-2.60979979888099,51.4138112755831
357688,168487,528,Cater Road - Camera 17 - Column 47 - Whitchurch Lane ,357688,168487,-2.60979979888099,51.4138112755831
357688,168487,529,Cater Road - Camera 18 - Column 47 - Whitchurch Lane ,357688,168487,-2.60979979888099,51.4138112755831
357526,168468,530,Cater Road - Camera 19 -WEC pole - Whitchurch Lane ,357526,168468,-2.61212698930068,51.4136282542927
360415.55,173843.029999999,531,"Twinnell House, Lift #2",360415.55,173843.03,-2.57118210777327,51.4621660113722
360415.55,173843.029999999,532,"Twinnell House, Lift #1",360415.55,173843.03,-2.57118210777327,51.4621660113722
